bot;aposta_id;event_id;mercado_tick;mercado_tipo;linha;selecao;odd;liga;apostado_em;veredito;motivos
SENTINELA-E-WCA-HC;71284;17147293;Handicap;16;0.50;Colombia (borees) (+0.5);1.800;World Cup A;2026-07-21 07:25:03.700228;OK;
SENTINELA-E-WCA-HC;71286;17147311;Handicap;16;-0.50;Morocco (Totti) (-0.5);2.050;World Cup A;2026-07-21 07:25:04.897338;OK;
SENTINELA-E-WCA-HC;71285;17147311;Handicap;16;0.50;Belgium (Hyper) (+0.5);1.700;World Cup A;2026-07-21 07:25:04.897760;OK;
SENTINELA-E-WCA-HC;71289;17147281;Handicap;16;-0.50;Czechia (mko1919) (-0.5);2.050;World Cup A;2026-07-21 07:28:28.902672;OK;
SENTINELA-E-WCA-HC;71292;17147254;Handicap;16;-2.50;Croatia (Wboy) (-2.5);1.350;World Cup A;2026-07-21 07:29:10.203832;OK;
SENTINELA-E-WCA-HC;71305;17147329;Handicap;16;-0.50;Norway (Lumix) (-0.5);2.250;World Cup A;2026-07-21 07:37:48.318588;OK;
SENTINELA-E-WCA-HC;71306;17147329;Handicap;16;0.50;Belgium (Hyper) (+0.5);1.570;World Cup A;2026-07-21 07:37:48.319023;OK;
SENTINELA-E-WCA-HC;71307;17147349;Handicap;16;0.50;Morocco (Totti) (+0.5);1.620;World Cup A;2026-07-21 07:37:48.474141;OK;
SENTINELA-E-WCA-HC;71315;17147236;Handicap;16;-1.50;Scotland (v1nn) (-1.5);2.050;World Cup A;2026-07-21 07:40:20.402177;OK;
SENTINELA-E-WCA-HC;71314;17147236;Handicap;16;1.50;Germany (dor1an) (+1.5);1.700;World Cup A;2026-07-21 07:40:20.402783;OK;
SENTINELA-E-WCA-HC;71316;17147243;Handicap;16;-1.50;Croatia (Wboy) (-1.5);1.700;World Cup A;2026-07-21 07:40:20.407097;OK;
SENTINELA-E-WCA-HC;71321;17147361;Handicap;16;0.50;Colombia (borees) (+0.5);1.820;World Cup A;2026-07-21 07:50:40.784803;OK;
