Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Todas,Qtd Todas,Últ. 10,Qtd Últ. 10,Últ. 20,Qtd Últ. 20,Últ. 30,Qtd Últ. 30,Últ. 50,Qtd Últ. 50,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
,NBA H2H GG League 4x5 minutes,JUGGERNAUT x BRAZEN,JUGGERNAUT,Brooklyn Nets,BRAZEN,Miami Heat,11/08/2026,03:24:11,Handicap,Brooklyn Nets (JUGGERNAUT) +11.5,11.5,0.7272727272727273,11,0.7,10,0.7272727272727273,11,0.7272727272727273,11,0.7272727272727273,11,1.85,31-42,58-68,Green,0.85,90530297
,NBA H2H GG League 4x5 minutes,JUGGERNAUT x BRAZEN,JUGGERNAUT,Brooklyn Nets,BRAZEN,Miami Heat,11/08/2026,03:26:58,Handicap,Brooklyn Nets (JUGGERNAUT) +12.5,12.5,0.7272727272727273,11,0.7,10,0.7272727272727273,11,0.7272727272727273,11,0.7272727272727273,11,1.8,38-49,58-68,Green,0.8,90530297
,NBA H2H GG League 4x5 minutes,JUGGERNAUT x BRAZEN,JUGGERNAUT,Brooklyn Nets,BRAZEN,Miami Heat,11/08/2026,03:27:32,Handicap,Brooklyn Nets (JUGGERNAUT) +13.5,13.5,0.7272727272727273,11,0.7,10,0.7272727272727273,11,0.7272727272727273,11,0.7272727272727273,11,1.8,38-50,58-68,Green,0.8,90530297
,NBA H2H GG League 4x5 minutes,JUGGERNAUT x BRAZEN,JUGGERNAUT,Brooklyn Nets,BRAZEN,Miami Heat,11/08/2026,03:30:58,Handicap,Brooklyn Nets (JUGGERNAUT) +14.5,14.5,0.8181818181818182,11,0.8,10,0.8181818181818182,11,0.8181818181818182,11,0.8181818181818182,11,1.7,46-60,58-68,Green,0.7,90530297
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:06:00,Handicap,Memphis Grizzlies (PIRATE) +3.5,3.5,0.7037037037037037,27,0.7,10,0.65,20,0.7037037037037037,27,0.7037037037037037,27,1.88,0-0,82-71,Green,0.88,90530291
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:11:48,Handicap,Memphis Grizzlies (PIRATE) +5.5,5.5,0.8518518518518519,27,0.8,10,0.85,20,0.8518518518518519,27,0.8518518518518519,27,1.83,0-0,82-71,Green,0.83,90530291
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:12:00,Handicap,Memphis Grizzlies (PIRATE) +6.5,6.5,0.8888888888888888,27,0.9,10,0.9,20,0.8888888888888888,27,0.8888888888888888,27,1.82,0-0,82-71,Green,0.82,90530291
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:12:23,Handicap,Memphis Grizzlies (PIRATE) +8.5,8.5,0.9629629629629629,27,1.0,10,1.0,20,0.9629629629629629,27,0.9629629629629629,27,1.82,0-2,82-71,Green,0.82,90530291
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:12:34,Handicap,Memphis Grizzlies (PIRATE) +7.5,7.5,0.9629629629629629,27,1.0,10,1.0,20,0.9629629629629629,27,0.9629629629629629,27,1.82,0-2,82-71,Green,0.82,90530291
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:15:09,Handicap,Memphis Grizzlies (PIRATE) +9.5,9.5,0.9629629629629629,27,1.0,10,1.0,20,0.9629629629629629,27,0.9629629629629629,27,1.85,5-10,82-71,Green,0.85,90530291
