Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Todas,Qtd Todas,Últ. 10,Qtd Últ. 10,Últ. 20,Qtd Últ. 20,Últ. 30,Qtd Últ. 30,Últ. 50,Qtd Últ. 50,Últ. 100,Qtd Últ. 100,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
,CLA-UA World Cyber Cup (UA),vrud1 x shatik666,vrud1,Cabo Verde,shatik666,Romania,26/08/2026,06:10:57,Total de Gols,Under,10.5,0.5714285714285714,7,0.5714285714285714,7,0.5714285714285714,7,0.5714285714285714,7,0.5714285714285714,7,0.5714285714285714,7,1.7,0-0,8-6,Red,-1.0,17503205
,CLA-UA World Cyber Cup (UA),vrud1 x shatik666,vrud1,Cabo Verde,shatik666,Romania,26/08/2026,06:11:57,Total de Gols,Under,11.5,0.7142857142857143,7,0.7142857142857143,7,0.7142857142857143,7,0.7142857142857143,7,0.7142857142857143,7,0.7142857142857143,7,1.76,2-0,8-6,Red,-1.0,17503205
,CLA-UA World Cyber Cup (UA),vrud1 x shatik666,vrud1,Cabo Verde,shatik666,Romania,26/08/2026,06:12:15,Total de Gols,Under,12.5,0.8571428571428571,7,0.8571428571428571,7,0.8571428571428571,7,0.8571428571428571,7,0.8571428571428571,7,0.8571428571428571,7,1.66,3-0,8-6,Red,-1.0,17503205
, CLA-UA Italy Cyber Cup (UA),Voron x Donatello,Voron,Inter,Donatello,Lazio,26/08/2026,06:23:45,Total de Gols,Under,7.5,0.5124378109452736,402,0.4,10,0.45,20,0.4,30,0.38,50,0.43,100,1.98,0-0,2-6,Red,-1.0,17502955
, CLA-UA Italy Cyber Cup (UA),Voron x Donatello,Voron,Inter,Donatello,Lazio,26/08/2026,06:24:43,Total de Gols,Under,8.5,0.6716417910447762,402,0.6,10,0.7,20,0.5666666666666667,30,0.52,50,0.57,100,1.89,0-0,2-6,Green,0.89,17502955
, CLA-UA Italy Cyber Cup (UA),Voron x Donatello,Voron,Inter,Donatello,Lazio,26/08/2026,06:25:11,Total de Gols,Under,9.5,0.7810945273631841,402,0.8,10,0.8,20,0.7,30,0.66,50,0.73,100,1.76,0-1,2-6,Green,0.76,17502955
, CLA-UA Italy Cyber Cup (UA),Voron x Donatello,Voron,Inter,Donatello,Lazio,26/08/2026,06:27:39,Total de Gols,Under,10.5,0.9029850746268657,402,1.0,10,0.95,20,0.9333333333333333,30,0.88,50,0.9,100,1.62,0-3,2-6,Green,0.62,17502955
, CLA-UA Italy Cyber Cup (UA),Voron x Donatello,Voron,Inter,Donatello,Lazio,26/08/2026,06:29:45,Total de Gols,Under,11.5,0.9502487562189055,402,1.0,10,1.0,20,0.9666666666666667,30,0.94,50,0.94,100,1.77,1-5,2-6,Green,0.77,17502955
, CLA-UA Italy Cyber Cup (UA),palkan x Voron,palkan,Fiorentina,Voron,Inter,26/08/2026,06:37:10,Total de Gols,Under,8.5,0.5865384615384616,208,0.4,10,0.6,20,0.5333333333333333,30,0.6,50,0.53,100,1.98,0-0,7-3,Red,-1.0,17502961
, CLA-UA Italy Cyber Cup (UA),palkan x Voron,palkan,Fiorentina,Voron,Inter,26/08/2026,06:39:40,Total de Gols,Under,9.5,0.7163461538461539,208,0.5,10,0.7,20,0.6666666666666666,30,0.7,50,0.66,100,1.66,0-0,7-3,Red,-1.0,17502961
