Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Janela 1,Winrate 1,Janela 2,Winrate 2,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
,CLA-UA World Cyber Cup (UA),Kairox x vrud1,Kairox,Saudi Arabia,vrud1,Cabo Verde,26/08/2026,06:56:11,Total de Gols,Under,10.5,,,,,1.98,2-3,6-5,Red,-1.0,17503207
,CLA-UA World Cyber Cup (UA),Kairox x vrud1,Kairox,Saudi Arabia,vrud1,Cabo Verde,26/08/2026,06:57:27,Total de Gols,Under,9.5,,,,,2.12,2-3,6-5,Red,-1.0,17503207
,CLA-UA World Cyber Cup (UA),Kairox x vrud1,Kairox,Saudi Arabia,vrud1,Cabo Verde,26/08/2026,06:59:12,Total de Gols,Under,11.5,,,,,1.7,3-3,6-5,Green,0.7,17503207
,CLA-UA World Cyber Cup (UA),Kairox x vrud1,Kairox,Saudi Arabia,vrud1,Cabo Verde,26/08/2026,07:02:48,Total de Gols,Under,12.5,,,,,1.4,5-5,6-5,Green,0.4,17503207
, CLA-UA Spain Cyber Cup (UA),k0tik x sensiz,k0tik,Girona FC,sensiz,Espanyol,26/08/2026,06:58:47,Total de Gols,Under,4.5,,,,,2.06,0-2,3-3,Red,-1.0,17502976
, CLA-UA Spain Cyber Cup (UA),k0tik x sensiz,k0tik,Girona FC,sensiz,Espanyol,26/08/2026,06:59:54,Total de Gols,Under,3.5,,,,,2.36,0-2,3-3,Red,-1.0,17502976
, CLA-UA Spain Cyber Cup (UA),k0tik x sensiz,k0tik,Girona FC,sensiz,Espanyol,26/08/2026,07:01:01,Total de Gols,Under,5.5,,,,,1.44,1-2,3-3,Red,-1.0,17502976
,CLA-UA World Cyber Cup (UA),shatik666 x bod1a,shatik666,Romania,bod1a,Spain,26/08/2026,06:57:58,Total de Gols,Under,10.5,,,,,2.22,4-2,5-3,Green,1.22,17503201
,CLA-UA World Cyber Cup (UA),shatik666 x bod1a,shatik666,Romania,bod1a,Spain,26/08/2026,06:59:53,Total de Gols,Under,9.5,,,,,2.22,4-3,5-3,Green,1.22,17503201
,CLA-UA World Cyber Cup (UA),shatik666 x bod1a,shatik666,Romania,bod1a,Spain,26/08/2026,07:01:13,Total de Gols,Under,8.5,,,,,2.4,4-3,5-3,Green,1.4,17503201
,CLA-UA World Cyber Cup (UA),shatik666 x bod1a,shatik666,Romania,bod1a,Spain,26/08/2026,07:02:24,Total de Gols,Under,7.5,,,,,2.62,4-3,5-3,Red,-1.0,17503201
, CLA-UA Spain Cyber Cup (UA),k0tik x aloha,k0tik,Girona FC,aloha,Celta Vigo,26/08/2026,07:06:14,Total de Gols,Under,7.5,,,,,1.73,0-0,4-2,Green,0.73,17502978
, CLA-UA Spain Cyber Cup (UA),k0tik x aloha,k0tik,Girona FC,aloha,Celta Vigo,26/08/2026,07:06:42,Total de Gols,Under,6.5,,,,,2.12,0-0,4-2,Green,1.12,17502978
, CLA-UA Spain Cyber Cup (UA),k0tik x aloha,k0tik,Girona FC,aloha,Celta Vigo,26/08/2026,07:09:50,Total de Gols,Under,5.5,,,,,2.07,0-1,4-2,Red,-1.0,17502978
,CLA-UA World Cyber Cup (UA),Kairox x bod1a,Kairox,Saudi Arabia,bod1a,Spain,26/08/2026,07:05:13,Total de Gols,Under,6.5,,,,,1.75,0-0,3-2,Green,0.75,17503206
,CLA-UA World Cyber Cup (UA),Kairox x bod1a,Kairox,Saudi Arabia,bod1a,Spain,26/08/2026,07:06:54,Total de Gols,Under,5.5,,,,,2.08,0-0,3-2,Green,1.08,17503206
,CLA-UA World Cyber Cup (UA),Kairox x bod1a,Kairox,Saudi Arabia,bod1a,Spain,26/08/2026,07:10:36,Total de Gols,Under,4.5,,,,,2.21,1-0,3-2,Red,-1.0,17503206
,CLA-UA World Cyber Cup (UA),zyX x vrud1,zyX,Uruguay,vrud1,Cabo Verde,26/08/2026,07:14:37,Total de Gols,Under,12.5,,,,,1.72,5-5,5-6,Green,0.72,17503208
,CLA-UA World Cyber Cup (UA),zyX x vrud1,zyX,Uruguay,vrud1,Cabo Verde,26/08/2026,07:15:24,Total de Gols,Under,11.5,,,,,2.23,5-5,5-6,Green,1.23,17503208
, CLA-UA Italy Cyber Cup (UA),fillanchik x Donatello,fillanchik,Lecce,Donatello,Lazio,26/08/2026,07:14:37,Total de Gols,Under,7.5,,,,,1.48,3-2,4-3,Green,0.48,17502958
, CLA-UA Italy Cyber Cup (UA),fillanchik x Donatello,fillanchik,Lecce,Donatello,Lazio,26/08/2026,07:14:41,Total de Gols,Under,6.5,,,,,2.36,3-2,4-3,Red,-1.0,17502958
, CLA-UA Italy Cyber Cup (UA),fillanchik x Donatello,fillanchik,Lecce,Donatello,Lazio,26/08/2026,07:15:49,Total de Gols,Under,5.5,,,,,2.56,3-2,4-3,Red,-1.0,17502958
, CLA-UA Spain Cyber Cup (UA),Shark x sensiz,Shark,Levante,sensiz,Espanyol,26/08/2026,07:14:55,Total de Gols,Under,5.5,,,,,1.68,2-2,3-3,Red,-1.0,17502975
, CLA-UA Spain Cyber Cup (UA),Shark x sensiz,Shark,Levante,sensiz,Espanyol,26/08/2026,07:15:34,Total de Gols,Under,4.5,,,,,2.71,2-2,3-3,Red,-1.0,17502975
, CLA-UA Italy Cyber Cup (UA),Voron x Terry14,Voron,Inter,Terry14,Juventus,26/08/2026,07:05:24,Total de Gols,Under,7.5,,,,,1.98,0-0,5-7,Red,-1.0,17502962
, CLA-UA Italy Cyber Cup (UA),Voron x Terry14,Voron,Inter,Terry14,Juventus,26/08/2026,07:07:19,Total de Gols,Under,8.5,,,,,1.68,0-0,5-7,Red,-1.0,17502962
, CLA-UA Italy Cyber Cup (UA),Voron x Terry14,Voron,Inter,Terry14,Juventus,26/08/2026,07:08:34,Total de Gols,Under,9.5,,,,,1.71,0-2,5-7,Red,-1.0,17502962
, CLA-UA Italy Cyber Cup (UA),Voron x Terry14,Voron,Inter,Terry14,Juventus,26/08/2026,07:15:56,Total de Gols,Under,10.5,,,,,1.56,1-7,5-7,Red,-1.0,17502962
, CLA-UA Champions Cyber League (UA),Kairox x zyX,Kairox,Celtic,zyX,PSV,26/08/2026,07:34:37,Total de Gols,Under,8.5,,,,,1.57,4-0,4-0,Green,0.57,17503230
, CLA-UA Champions Cyber League (UA),Kairox x zyX,Kairox,Celtic,zyX,PSV,26/08/2026,07:34:46,Total de Gols,Under,7.5,,,,,2.16,4-0,4-0,Green,1.16,17503230
, CLA-UA Champions Cyber League (UA),Kairox x zyX,Kairox,Celtic,zyX,PSV,26/08/2026,07:36:47,Total de Gols,Under,6.5,,,,,2.22,4-0,4-0,Green,1.22,17503230
, CLA-UA Champions Cyber League (UA),Kairox x zyX,Kairox,Celtic,zyX,PSV,26/08/2026,07:38:14,Total de Gols,Under,5.5,,,,,2.37,4-0,4-0,Green,1.37,17503230
, CLA-UA Champions Cyber League (UA),Kairox x zyX,Kairox,Celtic,zyX,PSV,26/08/2026,07:39:54,Total de Gols,Under,4.5,,,,,2.47,4-0,4-0,Green,1.47,17503230
, CLA-UA France Cyber Cup (UA),fillanchik x Voron,fillanchik,Marseille,Voron,Lyon,26/08/2026,07:34:37,Total de Gols,Under,6.5,,,,,1.69,0-1,3-4,Red,-1.0,17502979
, CLA-UA Champions Cyber League (UA),shatik666 x vrud1,shatik666,Fenerbahce,vrud1,Porto,26/08/2026,07:34:37,Total de Gols,Under,11.5,,,,,1.6,3-1,5-4,Green,0.6,17503110
, CLA-UA Champions Cyber League (UA),shatik666 x vrud1,shatik666,Fenerbahce,vrud1,Porto,26/08/2026,07:34:46,Total de Gols,Under,10.5,,,,,2.07,3-2,5-4,Green,1.07,17503110
, CLA-UA France Cyber Cup (UA),fillanchik x Voron,fillanchik,Marseille,Voron,Lyon,26/08/2026,07:34:58,Total de Gols,Under,5.5,,,,,2.12,0-1,3-4,Red,-1.0,17502979
, CLA-UA Champions Cyber League (UA),shatik666 x vrud1,shatik666,Fenerbahce,vrud1,Porto,26/08/2026,07:35:47,Total de Gols,Under,12.5,,,,,1.75,3-3,5-4,Green,0.75,17503110
, CLA-UA France Cyber Cup (UA),fillanchik x Voron,fillanchik,Marseille,Voron,Lyon,26/08/2026,07:36:36,Total de Gols,Under,7.5,,,,,1.86,0-2,3-4,Green,0.86,17502979
